"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Music,6,0,0,0,0,3,1,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Other Languages,58,0,0,1,7,16,24,10,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Other Languages,40,0,0,0,5,6,20,9,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Physical Education/Sports Studies,9,0,0,0,2,4,2,1,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Physics,19,0,1,0,2,6,7,3,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Sociology,20,0,0,0,1,5,12,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Sociology,25,0,0,0,2,13,8,2,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Theatre Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Theatre Studies,11,0,0,0,1,3,4,3,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Untranslated Literature,66,0,0,0,3,14,40,9,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Untranslated Literature,73,0,0,0,2,26,35,10,0
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Standard level component,Visual Arts,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136482,Hockerill Anglo-European College,Academy,IBO Higher level component,Visual Arts,6,0,0,0,0,1,2,3,0
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Chemistry,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Mathematical Studies,6,0,0,0,0,0,3,3,0
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Other Languages,7,0,0,0,0,1,6,0,0
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Other Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136551,Newstead Wood School,Academy,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136571,Hartsdown Academy,Academy,IBO Standard level component,Film Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136571,Hartsdown Academy,Academy,IBO Higher level component,Film Studies,6,0,0,4,1,0,0,0,1
Kent,136571,Hartsdown Academy,Academy,IBO Standard level component,Theatre Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136571,Hartsdown Academy,Academy,IBO Standard level component,Visual Arts,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Biology,13,0,0,8,4,0,0,1,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Biology,24,0,0,1,4,10,5,4,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Chemistry,9,0,1,2,2,1,2,1,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Chemistry,20,0,0,5,4,4,3,4,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Design & Technology,10,0,0,0,7,2,1,0,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Film Studies,16,0,0,1,12,3,0,0,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Film Studies,6,0,0,0,1,2,3,0,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Geography,15,0,0,0,3,4,5,2,1
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Geography,23,0,0,0,6,5,8,4,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,History,11,0,0,0,0,3,5,3,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Information & Communications Technology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Information & Communications Technology,9,0,0,0,4,5,0,0,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Logic/ Philosophy,8,0,0,0,0,3,4,0,1
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Logic/ Philosophy,10,0,0,0,0,4,4,2,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Mathematical Studies,80,0,2,10,14,28,15,11,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Mathematics (Further),12,0,2,2,3,1,1,0,3
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Mathematics (Further),16,0,3,5,3,3,1,0,1
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Music,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Other Languages,82,0,0,12,21,23,18,6,2
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Other Languages,11,0,0,0,0,5,6,0,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Physics,6,0,0,1,3,0,0,2,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Physics,33,0,0,4,8,13,1,7,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Psychology,14,0,0,1,1,5,6,1,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Psychology,31,0,0,0,2,12,14,3,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Sociology,10,0,0,0,3,7,0,0,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Sociology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Theatre Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Theatre Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Untranslated Literature,47,0,0,0,3,24,18,2,0
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Untranslated Literature,56,0,0,0,5,30,18,3,0
Kent,136585,Dane Court Grammar School,Academy,IBO Standard level component,Visual Arts,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136585,Dane Court Grammar School,Academy,IBO Higher level component,Visual Arts,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Biology,10,0,0,2,7,0,1,0,0
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Biology,20,0,0,6,4,9,0,0,1
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Chemistry,10,0,1,6,1,0,1,0,1
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Chemistry,13,0,5,1,5,0,0,0,2
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Dance,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Dance,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Film Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Geography,6,0,0,0,1,1,3,1,0
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,History,6,0,0,0,2,2,2,0,0
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Logic/ Philosophy,7,0,0,0,0,3,3,0,1
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Mathematical Studies,29,0,1,6,5,12,1,0,4
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Mathematics (Further),14,0,3,6,3,1,1,0,0
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Mathematics (Further),9,0,1,3,4,1,0,0,0
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Music,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Other Languages,40,0,3,7,17,6,4,2,1
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Other Languages,11,0,0,0,2,5,2,1,1
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Physics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Physics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Psychology,6,0,0,0,3,2,0,1,0
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Psychology,21,0,1,0,6,12,0,0,2
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Sociology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Sociology,10,0,0,0,7,3,0,0,0
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Theatre Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Theatre Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136636,Parkside Community College,Academy,IBO Standard level component,Untranslated Literature,25,0,0,0,1,17,4,1,2
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Untranslated Literature,32,0,0,1,5,18,7,0,1
Cambridgeshire,136636,Parkside Community College,Academy,IBO Higher level component,Visual Arts,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136730,Shenley Brook End School,Academy,IBO Standard level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136730,Shenley Brook End School,Academy,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136730,Shenley Brook End School,Academy,IBO Standard level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136730,Shenley Brook End School,Academy,IBO Higher level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136730,Shenley Brook End School,Academy,IBO Higher level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136730,Shenley Brook End School,Academy,IBO Standard level component,Untranslated Literature,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Standard level component,Biology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Higher level component,Biology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Higher level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Higher level component,Management Studies / Science,8,0,1,3,2,1,1,0,0
Torbay,136738,EF Academy Torbay,Independent School,IBO Standard level component,Mathematical Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Standard level component,Mathematics (Further),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Standard level component,Other Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Higher level component,Other Languages,6,0,0,0,0,3,3,0,0
Torbay,136738,EF Academy Torbay,Independent School,IBO Higher level component,Psychology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,136738,EF Academy Torbay,Independent School,IBO Standard level component,Untranslated Literature,7,0,0,1,3,1,1,1,0
Torbay,136738,EF Academy Torbay,Independent School,IBO Higher level component,Untranslated Literature,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Biology,11,0,0,2,2,4,2,1,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Chemistry,7,0,0,3,2,1,1,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Economics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Geography,6,0,0,2,0,3,1,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,History,9,0,0,1,3,5,0,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Mathematical Studies,12,0,1,0,5,3,3,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Mathematics (Further),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Mathematics (Further),7,0,0,2,2,2,1,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Other Languages,24,0,0,1,5,7,8,3,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Psychology,10,0,0,0,2,5,3,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Theatre Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Standard level component,Untranslated Literature,15,0,0,0,3,9,3,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Untranslated Literature,9,0,0,0,2,3,4,0,0
Milton Keynes,136844,The Hazeley Academy,Academy,IBO Higher level component,Visual Arts,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136845,Sir Henry Floyd Grammar School,Academy,IBO Standard level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136845,Sir Henry Floyd Grammar School,Academy,IBO Higher level component,Biology,10,0,0,0,1,5,3,1,0
Buckinghamshire,136845,Sir Henry Floyd Grammar School,Academy,IBO Standard level component,Chemistry,7,0,0,1,4,0,2,0,0
